Date,Name,Amount,,,,
3/18/2023,GONG CHA-HOUSTON STORE ,$5.68,GONG,CHA-HOUSTON,STORE,
3/18/2023,SHARETEA   ,$6.50,SHARETEA,,,
3/19/2023,BAHAMA MAMA SMOKE SHOP,$16.23,BAHAMA,MAMA,SMOKE,SHOP
3/19/2023,BUC-EE'S   ,$1.09,BUC-EE'S,,,
3/21/2023,H-E-B   ,$14.46,H-E-B,,,
3/22/2023,UT H&F FOOD SERVICE,$2.91,UT,H&F,FOOD,SERVICE
3/27/2023,WASH KIOSK  ,$10.00,WASH,KIOSK,,
3/28/2023,H-E-B   ,$34.84,H-E-B,,,
3/29/2023,UT H&F FOOD SERVICE,$5.82,UT,H&F,FOOD,SERVICE
4/1/2023,FIT CON  ,$10.83,FIT,CON,,
4/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
4/4/2023,H-E-B   ,$38.35,H-E-B,,,
4/5/2023,UT H&F FOOD SERVICE,$4.93,UT,H&F,FOOD,SERVICE
4/6/2023,PAYPAL *PATREON MEMBER ,$6.50,PAYPAL,*PATREON,MEMBER,
4/11/2023,7-ELEVEN   ,$10.37,7-ELEVEN,,,
4/13/2023,PAYPAL *NO GI BJJ,$43.96,PAYPAL,*NO,GI,BJJ
4/16/2023,WASH KIOSK  ,$10.00,WASH,KIOSK,,
4/21/2023,BUC-EE'S   ,$1.18,BUC-EE'S,,,
4/25/2023,PAPPASITO'S CANTI Q80 ,$12.98,PAPPASITO'S,CANTI,Q80,
4/26/2023,LYFT   ,$2.00,LYFT,,,
4/26/2023,LYFT   ,$21.99,LYFT,,,
5/2/2023,MMS-REGIONAL ONE HEALTH ,$2.14,MMS-REGIONAL,ONE,HEALTH,
5/2/2023,PP*APPLE.COM/BILL   ,$10.81,PP*APPLE.COM/BILL,,,
5/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
5/3/2023,SP ADDIE LOU BLU,$107.54,SP,ADDIE,LOU,BLU
5/3/2023,LYFT   ,$14.68,LYFT,,,
5/3/2023,LYFT   ,$22.70,LYFT,,,
5/3/2023,MMS-METHODIST   ,$2.01,MMS-METHODIST,,,
5/4/2023,LYFT   ,$2.00,LYFT,,,
5/4/2023,LYFT   ,$22.77,LYFT,,,
5/8/2023,LYFT   ,$2.00,LYFT,,,
5/8/2023,LYFT   ,$9.76,LYFT,,,
5/8/2023,LYFT   ,$10.99,LYFT,,,
5/9/2023,LYFT   ,$19.79,LYFT,,,
5/9/2023,UT RECEIVABLES-WEB  ,$10.00,UT,RECEIVABLES-WEB,,
5/10/2023,LYFT   ,$23.90,LYFT,,,
5/10/2023,LYFT   ,$2.00,LYFT,,,
5/10/2023,LYFT   ,$11.90,LYFT,,,
5/10/2023,MMS-METHODIST   ,$7.55,MMS-METHODIST,,,
5/11/2023,LYFT   ,$28.80,LYFT,,,
5/11/2023,MMS-METHODIST   ,$6.32,MMS-METHODIST,,,
5/12/2023,LYFT   ,$4.76,LYFT,,,
5/12/2023,LYFT   ,$31.75,LYFT,,,
5/12/2023,LYFT   ,$3.00,LYFT,,,
5/12/2023,LYFT   ,$37.99,LYFT,,,
5/16/2023,CURB LV TAXI NEW,$20.58,CURB,LV,TAXI,NEW
5/20/2023,PAYPAL *TEMU  ,$10.99,PAYPAL,*TEMU,,
5/22/2023,SHELL91002195626   ,$42.20,SHELL91002195626,,,
5/24/2023,FIV*GONG CHA  ,$6.50,FIV*GONG,CHA,,
5/24/2023,TACO BELL  ,$8.65,TACO,BELL,,
5/25/2023,KROGER   ,$52.36,KROGER,,,
5/25/2023,RANCH   ,$3.49,RANCH,,,
5/29/2023,FIV*GONG CHA  ,$6.50,FIV*GONG,CHA,,
5/29/2023,SHELL57546308909 SUGAR  ,$43.34,SHELL57546308909,SUGAR,,
5/30/2023,HALALBROSCORPORATION   ,$12.98,HALALBROSCORPORATION,,,
5/31/2023,BUC-EE'S   ,$27.65,BUC-EE'S,,,
5/31/2023,BUC-EE'S   ,$3.33,BUC-EE'S,,,
6/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
6/4/2023,TARGET   ,$3.29,TARGET,,,
6/4/2023,TST* RAMEN TATSU-YA ,$15.16,TST*,RAMEN,TATSU-YA,
6/9/2023,TST* BANGERS SAUSAGE H,$44.24,TST*,BANGERS,SAUSAGE,H
6/10/2023,"INTERFOLIO, INC.  ",$59.99,"INTERFOLIO,",INC.,,
6/10/2023,UT SYSTEM TMDSAS ,$215.00,UT,SYSTEM,TMDSAS,
6/11/2023,TST* SOUPLEAF HOT POT,$25.97,TST*,SOUPLEAF,HOT,POT
6/11/2023,H-E-B   ,$8.22,H-E-B,,,
6/14/2023,UT H&F FOOD SERVICE,$5.95,UT,H&F,FOOD,SERVICE
