Date,Name,Amount
8/15/2023,CPP*FIT CONNECT  ,$53.04
8/22/2023,FLIX   ,$23.98
8/24/2023,SQ *SHAKE SMART UNIVER,$8.93
8/24/2023,TARGET   ,$12.59
8/29/2023,SQ *SHAKE SMART UNIVER,$8.93
8/29/2023,H-E-B   ,$34.58
9/1/2023,CPP*FIT CONNECT  ,$10.83
9/2/2023,SPOTIFY   ,$17.31
9/2/2023,WASH KIOSK  ,$10.00
9/7/2023,SQ *SHAKE SMART UNIVER,$11.10
9/8/2023,PAYPAL *REGIMEN INC ,$5.35
9/10/2023,PAYPAL *TEMU  ,$15.93
9/10/2023,UT RECSPORTS ECOMMERCE ,$80.00
9/12/2023,TST* THE PIZZA PRESS,$12.88
9/13/2023,HALAL BROS* HALAL BROS,$18.39
9/14/2023,SQ *SHAKE SMART UNIVER,$8.39
9/22/2023,WASH KIOSK  ,$10.00
9/24/2023,PAYPAL *G2ACOMLIMIT  ,$7.72
9/25/2023,AMZN Mktp  ,$10.81
9/29/2023,SONIC DRIVE IN#1531 ,$18.60
9/29/2023,SONIC SVC  ,$1.04
10/1/2023,HALAL BROS* HALAL BROS,$14.06
10/1/2023,APPFOLIO *REALTY GR ,"$1,176.85"
10/2/2023,SPOTIFY   ,$17.31
10/3/2023,PP*APPLE.COM/BILL   ,$10.81
10/6/2023,"GROUPON, INC.  ",$16.80
10/7/2023,BUC-EE'S   ,$2.15
10/7/2023,THE TEAHOUSE  ,$5.41
10/8/2023,TACO BELL  ,$8.00
10/8/2023,TROPICAL SMOOTHIE CAFE ,$7.46
10/8/2023,TROPICAL SMOOTHIE CAFE ,$8.11
10/9/2023,WASH KIOSK  ,$10.00
10/27/2023,Chilis   ,$10.27
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
